Ημερομηνία,Ώρα,Αριθμός επαφής,Περιγραφή κλήσης,Διάρκεια
2024-11-24,14:54:47,6955163670,Πραγματοποιημένη,19:12
2024-11-24,14:55:49,6955163670,Αναπάντητη,0:0
2024-11-24,14:56:02,6916739596,Αναπάντητη,0:0
2024-11-24,14:56:13,6960443345,Αναπάντητη,0:0
2024-11-24,14:56:19,6905496552,Πραγματοποιημένη,48:21
2024-11-24,14:56:27,6905496552,Αναπάντητη,0:0
2024-11-24,14:56:31,6905496552,Πραγματοποιημένη,23:56
2024-11-24,14:56:40,6987991518,Αναπάντητη,0:0
2024-11-24,14:56:44,6987991518,Πραγματοποιημένη,19:13
2024-11-24,14:56:51,6931566628,Πραγματοποιημένη,31:35
2024-11-24,14:56:55,6931566628,Πραγματοποιημένη,21:32
2024-11-24,14:57:01,6982318898,Αναπάντητη,0:0
2024-11-24,14:57:05,6982318898,Πραγματοποιημένη,7:12
2024-11-24,14:57:22,6943699810,Πραγματοποιημένη,29:1
2024-11-24,14:57:29,6943699810,Πραγματοποιημένη,0:40
2024-11-24,14:57:37,6943699810,Πραγματοποιημένη,10:14
2024-11-24,14:57:44,6905496552,Αναπάντητη,0:0
2024-11-24,14:57:56,6980041740,Πραγματοποιημένη,9:10
2024-11-24,14:58:00,6980041740,Αναπάντητη,0:0
2024-11-30,09:02:28.984613,6930276404,Πραγματοποιημένη,41:40
